SIZING PARAMETERS:
NUMBER OF MEGA-CHARGERS: 2
NUMBER OF REGULAR-CHARGERS: 1
NUMBER OF SPARE BATTERIES: 1

FLIGHTS INFORMATION:
Aircraft   Flight     Destination      Departure Time  Arrival Time    SoC (%)
A1         F1         CMI              3.0             129.0           53.50
A1         F2         SPI              221.0           348.0           68.71
A1         F3         MKE              426.0           527.0           26.50
A2         F1         SBN              21.0            138.0           33.13
A2         F2         SBN              223.0           329.0           33.13
A2         F3         SBN              413.0           529.0           33.13
A2         F4         MKE              597.0           696.0           26.50
A3         F1         CID              12.0            139.0           77.55
A3         F2         GRR              258.0           373.0           53.99
A3         F3         CMI              450.0           560.0           53.50
A4         F1         GRR              39.0            151.0           53.99
A4         F2         LAN              242.0           377.0           70.43
A4         F3         CMI              460.0           572.0           53.50
A5         F1         PIA              41.0            158.0           51.29
A5         F2         MDW              301.0           388.0            6.13
