SIZING PARAMETERS:
NUMBER OF MEGA-CHARGERS: 1
NUMBER OF REGULAR-CHARGERS: 1
NUMBER OF SPARE BATTERIES: 1

FLIGHTS INFORMATION:
Aircraft   Flight     Destination      Departure Time  Arrival Time    SoC (%)
A1         F1         SPI              1.0             120.0           68.71
A1         F2         SBN              208.0           306.0           33.13
A2         F1         SPI              4.0             122.0           68.71
A2         F2         MKE              204.0           298.0           26.50
A2         F3         SPI              373.0           499.0           68.71
A3         F1         CID              1.0             125.0           77.55
A3         F2         MDW              228.0           321.0            6.13
A4         F1         MDW              23.0            125.0            6.13
A4         F2         GRR              211.0           330.0           53.99
A4         F3         BMI              404.0           517.0           45.89
