SIZING PARAMETERS:
NUMBER OF MEGA-CHARGERS: 3
NUMBER OF REGULAR-CHARGERS: 1
NUMBER OF SPARE BATTERIES: 1

FLIGHTS INFORMATION:
Aircraft   Flight     Destination      Departure Time  Arrival Time    SoC (%)
A1         F1         CMI              3.0             129.0           53.50
A1         F2         SPI              221.0           348.0           68.71
A1         F3         MKE              426.0           527.0           26.50
A1         F4         MSN              614.0           719.0           42.94
A2         F1         SBN              21.0            138.0           33.13
A2         F2         SBN              223.0           329.0           33.13
A2         F3         SBN              413.0           529.0           33.13
A2         F4         MKE              597.0           696.0           26.50
A2         F5         MLI              765.0           881.0           54.97
A3         F1         CID              12.0            139.0           77.55
A3         F2         GRR              258.0           373.0           53.99
A3         F3         CMI              450.0           560.0           53.50
A3         F4         MDW              642.0           730.0            6.13
A4         F1         GRR              39.0            151.0           53.99
A4         F2         LAN              242.0           377.0           70.43
A4         F3         CMI              460.0           572.0           53.50
A4         F4         SPI              642.0           761.0           68.71
A5         F1         PIA              41.0            158.0           51.29
A5         F2         MDW              301.0           388.0            6.13
A5         F3         GRR              450.0           579.0           53.99
A5         F4         MSN              640.0           753.0           42.94
A6         F1         BMI              51.0            162.0           45.89
A6         F2         LAF              257.0           418.0           47.12
A6         F3         MDW              527.0           618.0            6.13
A6         F4         MKE              694.0           793.0           26.50
A7         F1         MSN              76.0            196.0           42.94
A7         F2         LAN              276.0           413.0           70.43
A7         F3         IND              498.0           622.0           69.94
A8         F1         LAF              31.0            201.0           47.12
A8         F2         SBN              334.0           439.0           33.13
