SIZING PARAMETERS:
NUMBER OF MEGA-CHARGERS: 2
NUMBER OF REGULAR-CHARGERS: 1
NUMBER OF SPARE BATTERIES: 1

FLIGHTS INFORMATION:
Aircraft   Flight     Destination      Departure Time  Arrival Time    SoC (%)
A1         F1         GRR              4.0             120.0           53.99
A1         F2         MKE              191.0           292.0           26.50
A2         F1         CMI              12.0            136.0           53.50
A2         F2         MKE              227.0           336.0           26.50
A3         F1         IND              16.0            141.0           69.94
A3         F2         MLI              217.0           335.0           54.97
A3         F3         MDW              418.0           502.0            6.13
A4         F1         MLI              32.0            143.0           54.97
A4         F2         PIA              221.0           340.0           51.29
A4         F3         MDW              426.0           524.0            6.13
A5         F1         MSN              40.0            154.0           42.94
A5         F2         SBN              274.0           373.0           33.13
A5         F3         CMI              471.0           583.0           53.50
A6         F1         MDW              58.0            157.0            6.13
A6         F2         GRR              249.0           377.0           53.99
