SIZING PARAMETERS:
NUMBER OF MEGA-CHARGERS: 3
NUMBER OF REGULAR-CHARGERS: 1
NUMBER OF SPARE BATTERIES: 1

FLIGHTS INFORMATION: 
Aircraft   Flight     Destination      Departure Time  Arrival Time    SoC (%)      
A1         F1         FWA              17.0            146.0           61.84
A1         F2         IND              352.0           477.0           69.94
A1         F3         PIA              635.0           745.0           51.29
A2         F1         CID              43.0            174.0           77.55
A2         F2         LAN              298.0           427.0           70.43
A2         F3         SPI              513.0           633.0           68.71
A2         F4         MKE              744.0           849.0           26.50
A3         F1         BMI              71.0            179.0           45.89
A3         F2         BMI              472.0           586.0           45.89
A3         F3         MSN              679.0           788.0           42.94
A4         F1         FWA              69.0            185.0           51.84
A4         F2         LAN              354.0           479.0           60.43
A4         F3         CID              603.0           730.0           67.55
A5         F1         GRR              78.0            193.0           53.99
A5         F2         GRR              363.0           490.0           53.99
A5         F3         GRR              586.0           701.0           53.99
A6         F1         MDW              108.0           199.0            6.13
A6         F2         MKE              493.0           606.0           26.50
A7         F1         MDW              103.0           202.0            6.13
A7         F2         LAF              571.0           738.0           47.12
A8         F1         SPI              144.0           277.0           68.71
A9         F1         GRR              165.0           277.0           53.99
A9         F2         MKE              427.0           536.0           26.50
A9         F3         IND              633.0           765.0           69.94
A10        F1         CMI              185.0           300.0           53.50
A10        F2         GRR              716.0           834.0           53.99
A11        F1         CID              176.0           314.0           77.55
A11        F2         GRR              546.0           657.0           53.99
A12        F1         PIA              222.0           342.0           51.29
A13        F1         MLI              632.0           762.0           54.97
