SIZING PARAMETERS:
NUMBER OF MEGA-CHARGERS: 1
NUMBER OF REGULAR-CHARGERS: 1
NUMBER OF SPARE BATTERIES: 1

FLIGHTS INFORMATION:
Aircraft   Flight   Departure Time  Arrival Time    SoC (%)
A1	       F1		1				120				68.71
A1	       F2		135				293				91.22
A2	       F1		4				122				68.71
A2	       F2		135				294				91.72
A2	       F3		307				461				88.71
A3	       F1		1				125				77.55
A3	       F2		137				285				85.23
A4	       F1		23				125				85.13
A4	       F2		132				295				93.99
A4	       F3		308				474				95.82
